Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
CRM,ZYG-141,10140,Epic,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:28 PM,30/Jul/24 10:28 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000tj:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,30/Jul/24 10:28 PM
Bill Payments,ZYG-140,10139,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:26 PM,30/Jul/24 10:26 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000tb:,,,,,,,,,,,,,,,,,,,,,,,,,10136,3rd Party Providers,To Do,30/Jul/24 10:26 PM
Virtual Wallets,ZYG-139,10138,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:26 PM,30/Jul/24 10:26 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000t3:,,,,,,,,,,,,,,,,,,,,,,,,,10136,3rd Party Providers,To Do,30/Jul/24 10:26 PM
Transfers,ZYG-138,10137,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:26 PM,30/Jul/24 10:26 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000sv:,,,,,,,,,,,,,,,,,,,,,,,,,10136,3rd Party Providers,To Do,30/Jul/24 10:26 PM
3rd Party Providers,ZYG-137,10136,Epic,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:25 PM,30/Jul/24 10:27 PM,30/Aug/24 9:02 PM,,,0,,This Epic takes care of every effort into identifying and closing out potential alternatives to current service providers.,,David Yamah,Paul Aikhomu,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:188b1e28-5229-4307-b932-746c6bf21187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000sn:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,30/Jul/24 10:25 PM
"New Bill payment options (Betting, Education.....)",ZYG-136,10135,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:25 PM,30/Jul/24 10:25 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sf:,,,,,,,,,,,,,,,,,,,,,,,,,10133,Improvements,To Do,30/Jul/24 10:25 PM
Request payment,ZYG-135,10134,Story,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:24 PM,30/Jul/24 10:24 PM,30/Aug/24 9:02 PM,,,0,,,,David Yamah,,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000s7:,,,,,,,,,,,,,,,,,,,,,,,,,10133,Improvements,To Do,30/Jul/24 10:24 PM
Improvements,ZYG-134,10133,Epic,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:09 PM,30/Jul/24 10:27 PM,30/Aug/24 9:02 PM,,,0,,"This epic encompasses all the necessary fixes and enhancements to our existing products. The goal is to address user feedback, resolve any issues, and improve overall functionality to ensure a seamless and improve user experience. ",,David Yamah,Paul Aikhomu,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:188b1e28-5229-4307-b932-746c6bf21187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000rz:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,30/Jul/24 10:09 PM
Rewards and Referrals,ZYG-133,10132,Epic,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,30/Jul/24 10:08 PM,30/Jul/24 10:27 PM,30/Aug/24 9:02 PM,,,0,,"This feature aims to incentivize customers to actively use Zygyy’s services and refer new users to our platform. By rewarding both referrers and referees, the plan is to create a win-win scenario that not only increases our user base but also fosters loyalty among our current customers.",,David Yamah,Paul Aikhomu,,,,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:188b1e28-5229-4307-b932-746c6bf21187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i000rr:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,30/Jul/24 10:08 PM
"Proceed buttons should be disabled on until the Customer Names appears: Electricity (Prepaid/Postpaid), Cable TV",ZYG-132,10131,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Raymond Aderinto,5f6e4e4ded55c7006af8793c,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,25/Jul/24 11:27 AM,25/Jul/24 11:31 AM,25/Jul/24 11:31 AM,,,0,,"When the Customer Name does not appear due to any issues either network or when the provider service is down, the Proceed buttons should be disabled

h3. STEPS

# Login to the app
# Go to Payments
# Click on either of the following: Electricity -Prepaid, Electricity - Postpaid, Cable TV
# Input a Customer ID

h3. EXPECTED RESULT 

The Proceed buttons should not be active until the Customer Name is returned

h3. ACTUAL RESULT

The Proceed buttons is active when the ID number is incorrect and when the Customer name is not even yet returned ",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000rj:,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,To Do,25/Jul/24 11:27 AM
